Name,Generocity,LifeExp,Score,GDP,Corruption,Support,Lat,Long,Capital
Mauritania,-0.106,57.161,4.227,8.542,0.731,0.795,18.0666666666667,-15.966667,Nouakchott
Mauritius,-0.054,66.701,6.049,10.008,0.789,0.905,-20.15,57.483333,Port Louis
Mexico,-0.147,68.597,6.317,9.859,0.799,0.831,19.4333333333333,-99.133333,Mexico City
Moldova,-0.079,65.699,5.766,9.454,0.918,0.857,47.0,28.85,Chisinau
Mongolia,0.116,62.5,5.677,9.4,0.856,0.935,47.9166666666667,106.916667,Ulaanbaatar
Montenegro,-0.034,68.699,5.581,9.94,0.812,0.858,42.4333333333333,19.266667,Podgorica
Morocco,-0.236,66.208,4.918,8.903,0.801,0.56,34.0166666666667,-6.816667,Rabat
Mozambique,0.061,54.706,4.794,7.158,0.684,0.744,-25.95,32.583333,Maputo
Namibia,-0.149,56.799,4.574,9.161,0.847,0.818,-22.5666666666667,17.083333,Windhoek
Nepal,0.152,64.233,5.269,8.12,0.727,0.774,27.7166666666667,85.316667,Kathmandu
Netherlands,0.175,72.4,7.464,10.932,0.338,0.942,52.35,4.916667,Amsterdam
New Zealand,0.134,73.4,7.277,10.643,0.242,0.948,-41.3,174.783333,Wellington
Nicaragua,0.02,67.657,5.972,8.62,0.664,0.864,12.1333333333333,-86.25,Managua
Niger,0.018,53.78,5.074,7.098,0.693,0.641,13.5166666666667,2.116667,Niamey
Nigeria,0.037,50.102,4.759,8.533,0.878,0.74,9.08333333333333,7.533333,Abuja
Norway,0.093,73.3,7.392,11.053,0.27,0.954,59.9166666666667,10.75,Oslo
Pakistan,0.098,58.709,4.934,8.458,0.787,0.651,33.6833333333333,73.05,Islamabad
Panama,-0.166,69.652,6.18,10.35,0.856,0.896,8.96666666666667,-79.533333,Panama City
Paraguay,0.028,65.9,5.653,9.448,0.882,0.893,-25.2666666666667,-57.666667,Asuncion
Peru,-0.154,68.25,5.84,9.458,0.891,0.832,-12.05,-77.05,Lima
Philippines,-0.097,62.0,5.88,9.076,0.742,0.83,14.6,120.966667,Manila
Poland,-0.165,69.702,6.166,10.382,0.735,0.898,52.25,21.0,Warsaw
Portugal,-0.244,72.6,5.929,10.421,0.887,0.879,38.7166666666667,-9.133333,Lisbon
Romania,-0.219,67.355,6.14,10.284,0.938,0.832,44.4333333333333,26.1,Bucharest
Russia,-0.111,64.703,5.477,10.189,0.845,0.903,55.75,37.6,Moscow
Rwanda,0.061,61.4,3.415,7.676,0.167,0.552,-1.95,30.05,Kigali
Saudi Arabia,-0.149,66.603,6.494,10.743,0.684,0.891,24.65,46.7,Riyadh
Senegal,-0.046,59.802,5.132,8.118,0.801,0.71,14.7333333333333,-17.633333,Dakar
Serbia,0.002,68.6,6.078,9.787,0.835,0.873,44.8333333333333,20.5,Belgrade
Sierra Leone,0.084,51.651,3.849,7.434,0.866,0.63,8.48333333333333,-13.233333,Freetown
Singapore,-0.018,76.953,6.377,11.488,0.082,0.915,1.28333333333333,103.85,Singapore
Slovakia,-0.124,69.201,6.331,10.369,0.911,0.936,48.15,17.116667,Bratislava
Slovenia,-0.101,71.4,6.461,10.529,0.806,0.948,46.05,14.516667,Ljubljana
South Africa,-0.067,56.904,4.956,9.403,0.86,0.86,-25.7,28.216667,Pretoria
Spain,-0.081,74.7,6.491,10.571,0.745,0.932,40.4,-3.683333,Madrid
Sri Lanka,0.079,67.299,4.325,9.47,0.863,0.827,6.91666666666667,79.833333,Colombo
Swaziland,-0.185,50.833,4.308,9.065,0.708,0.77,-26.3166666666667,31.133333,Mbabane
Sweden,0.086,72.7,7.363,10.867,0.237,0.934,59.3333333333333,18.05,Stockholm
Switzerland,0.025,74.4,7.571,11.117,0.292,0.942,46.9166666666667,7.466667,Bern
Tajikistan,-0.056,64.281,5.466,8.091,0.553,0.86,38.55,68.766667,Dushanbe
Tanzania,0.183,57.999,3.623,7.876,0.577,0.702,-6.8,39.283333,Dar es Salaam
